,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
163,<__main__.Entity object at 0x7f67238b1ac8>,Oval_Office,12,[],"{581, 2567, 1261, 206, 1071, 304, 1423, 1999, 1812, 2196, 2746, 1374}",{'Oval Office'},0.05729166666666667,0.0
164,<__main__.Entity object at 0x7f6723dbd048>,Tennis,1,"['Activity', 'Sport']",{207},{'tennis'},0.0,0.0
165,<__main__.Entity object at 0x7f6723dbd5c0>,Billie_Jean,1,"['Work', 'MusicalWork', 'Song']",{207},{'Billie Jean'},0.0,0.0
166,<__main__.Entity object at 0x7f6723ab84a8>,King,4,[],"{1851, 845, 741, 207}",{'King'},-0.020454545454545454,0.0
167,<__main__.Entity object at 0x7f6723dbd898>,Bobby_Riggs,1,"['Person', 'Athlete', 'Agent', 'TennisPlayer']",{207},{'Bobby Riggs'},0.0,0.0
168,<__main__.Entity object at 0x7f6723af5ba8>,Sticker,5,[],"{705, 1633, 209, 1713, 1715}",{'sticker'},0.46,0.4
169,<__main__.Entity object at 0x7f6723849c18>,Torture,2,[],"{210, 2786}",{'torture'},0.20625,0.20625
170,<__main__.Entity object at 0x7f6723d4b550>,Donald_J._Trump_Foundation,3,"['Agent', 'Organisation']","{211, 478, 463}",{'Trump Foundation'},0.19999999999999998,0.0
171,<__main__.Entity object at 0x7f6723dbcb38>,NEW_(TV_station),1,"['Organisation', 'Broadcaster', 'Agent', 'TelevisionStation']",{213},{'NEW'},0.2787878787878788,0.2787878787878788
172,<__main__.Entity object at 0x7f6723dbc0f0>,Business,1,[],{213},{'for-profit'},0.2787878787878788,0.2787878787878788
173,<__main__.Entity object at 0x7f6723a028d0>,Black_people,2,[],"{1945, 214}","{'black people', 'Black'}",-0.07499999999999998,-0.07499999999999998
174,<__main__.Entity object at 0x7f6723dbc860>,United_Nations_General_Assembly,1,[],{217},{'UNGA'},-0.15555555555555559,-0.15555555555555559
175,<__main__.Entity object at 0x7f6723e399e8>,The_Voice_(American_TV_series),1,"['Work', 'TelevisionShow']",{218},{'The voice'},1.0,1.0
176,<__main__.Entity object at 0x7f6723e39c88>,Florida_Today,1,"['WrittenWork', 'Work', 'PeriodicalLiterature', 'Newspaper']",{219},{'Florida today'},0.2857142857142857,0.2857142857142857
177,<__main__.Entity object at 0x7f6723e39a90>,MTV_Europe_Music_Award_for_Biggest_Fans,1,[],{220},{'biggest fans'},0.0,0.0
178,<__main__.Entity object at 0x7f67239a7b38>,Higher_education,5,[],"{488, 884, 2261, 2078, 222}",{'higher education'},0.2708333333333333,0.25
179,<__main__.Entity object at 0x7f6723ab7198>,Ballot,7,[],"{1808, 1506, 262, 223}",{'ballot'},0.11071428571428571,0.1
180,<__main__.Entity object at 0x7f6723e396a0>,Economic_data,1,[],{223},{'economic data'},0.24285714285714285,0.24285714285714285
181,<__main__.Entity object at 0x7f6723e394a8>,Drowning,1,['Disease'],{225},{'drowning'},0.35,0.35
182,<__main__.Entity object at 0x7f6723a60780>,University,3,[],"{1921, 474, 227}",{'universities'},0.1388888888888889,0.0
183,<__main__.Entity object at 0x7f67238b18d0>,The_Lesson,2,"['WrittenWork', 'Work', 'Play']","{2745, 230}",{'The lesson'},0.17708333333333331,0.17708333333333331
184,<__main__.Entity object at 0x7f6723ddd7b8>,Playing_card_suit,2,[],"{270, 231}",{'trump'},-0.43500000000000005,-0.43500000000000005
185,<__main__.Entity object at 0x7f67239db940>,White_supremacy,10,[],"{768, 2112, 675, 709, 870, 234, 1777, 438, 793, 794}","{'white supremacy', 'white supremacist', 'white supremacists'}",-0.018055555555555554,0.0
186,<__main__.Entity object at 0x7f672384d550>,Democracy,8,[],"{1697, 1283, 235, 2796, 685, 431, 1234, 1107}",{'democracy'},0.1640873015873016,0.0
187,<__main__.Entity object at 0x7f6723dd0a58>,GuitarFreaks_and_DrumMania,1,"['Work', 'Software', 'VideoGame']",{235},{'inside-out'},1.0,1.0
188,<__main__.Entity object at 0x7f67238a70b8>,Electrical_grid,2,[],"{243, 2692}","{'grid', 'electrical grid'}",0.26666666666666666,0.26666666666666666
189,<__main__.Entity object at 0x7f67237f5a90>,Renewable_energy,4,[],"{3136, 243, 643, 3134}",{'renewable energy'},0.0625,0.0
190,<__main__.Entity object at 0x7f67237ed710>,Economic_inequality,2,[],"{244, 3076}","{'income inequality', 'inequality'}",-0.10680402930402932,-0.10680402930402932
191,<__main__.Entity object at 0x7f672381fbe0>,Cannon,4,[],"{2964, 244, 2965, 2958}",{'cannon'},-0.14857295482295482,-0.09743589743589745
192,<__main__.Entity object at 0x7f67238fd518>,Reality_television,4,[],"{1408, 2419, 315, 245}","{'reality TV', 'reality television'}",-0.03125,0.0
193,<__main__.Entity object at 0x7f6723dcf7f0>,Birth_certificate,1,[],{245},{'birth certificates'},0.0,0.0
194,<__main__.Entity object at 0x7f6723dcf9e8>,United_States_cable_news,1,[],{245},{'cable news'},0.0,0.0
195,<__main__.Entity object at 0x7f6723ad4518>,Optimism,3,[],"{1686, 246, 1647}","{'optimist', 'Optimism'}",0.2119047619047619,0.2857142857142857
196,<__main__.Entity object at 0x7f6723849198>,Terrorism,26,[],"{2432, 2433, 2434, 2440, 2441, 2442, 2446, 2450, 1301, 420, 942, 1480, 2384, 2130, 595, 2394, 1756, 2782, 2272, 2145, 2405, 2411, 2423, 2425, 253, 254}","{'terrorist', 'terrorist attack', 'terrorists', 'terrorism'}",-0.042569930069930075,0.0
197,<__main__.Entity object at 0x7f6723dcf4e0>,Grob_G_109,1,"['MeanOfTransportation', 'Aircraft']",{255},{'vigilant'},-0.125,-0.125
198,<__main__.Entity object at 0x7f67237ac6d8>,Fear,22,[],"{1570, 1698, 900, 2435, 1831, 1352, 969, 458, 1739, 3208, 3211, 1551, 2130, 1014, 1303, 1622, 1305, 2140, 2366, 255}",{'fear'},0.018166666666666664,0.05022727272727273
199,<__main__.Entity object at 0x7f6723dcf208>,Millennials,1,[],{258},{'millennials'},0.0,0.0
200,<__main__.Entity object at 0x7f6723936588>,Happy_Birthday_to_You,7,"['Work', 'MusicalWork', 'Song']","{1154, 260, 809, 1965, 881, 1144, 2558}","{'happy birthday', 'Happy birthday'}",0.7680272108843538,0.8
201,<__main__.Entity object at 0x7f6723dcfac8>,United_States_Air_Force,1,"['Organisation', 'Agent', 'MilitaryUnit']",{260},{'USAF'},0.9,0.9
202,<__main__.Entity object at 0x7f6723840f60>,Traveling_Wilburys_Vol._1,3,"['Work', 'MusicalWork', 'Album']","{261, 390, 2775}",{'Congratulations'},0.1416666666666667,0.0
203,<__main__.Entity object at 0x7f6723ddd908>,Emmy_Award,1,['Award'],{261},{'Emmy'},0.0,0.0
204,<__main__.Entity object at 0x7f6723ddd9b0>,Kate_Ramsay,1,"['FictionalCharacter', 'Agent', 'SoapCharacter']",{261},{'Kate'},0.0,0.0
205,<__main__.Entity object at 0x7f672388b860>,Big_Fan,2,[],"{2665, 261}","{'Big fan', 'big fan'}",0.0,0.0
206,<__main__.Entity object at 0x7f67239b32b0>,Progress,2,[],"{262, 2287}",{'Progress'},0.0,0.0
207,<__main__.Entity object at 0x7f6723dcf358>,Toleration,1,[],{262},{'Tolerance'},0.0,0.0
208,<__main__.Entity object at 0x7f672391fc88>,Justice,2,[],"{2526, 262}",{'Justice'},0.24074074074074078,0.24074074074074078
