,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
328,<__main__.Entity object at 0x7f3187dcad68>,NEVER_(professional_wrestling),6,"['SportsEvent', 'SocietalEvent', 'Event', 'WrestlingEvent']","{873, 587, 1419, 2487, 1083, 317}",{'NEVER'},0.10208333333333333,0.175
329,<__main__.Entity object at 0x7f3187cc6860>,Education,7,[],"{1508, 2664, 2639, 2897, 2325, 2104, 317}","{'education', 'education system'}",-0.09126984126984128,-0.0875
330,<__main__.Entity object at 0x7f318819d3c8>,Safety,4,[],"{816, 604, 317, 815}",{'safety'},0.19375,0.1375
331,<__main__.Entity object at 0x7f31883124e0>,Predation,2,[],"{361, 318}",{'predators'},0.26666666666666666,0.26666666666666666
332,<__main__.Entity object at 0x7f3187db9668>,Hackers_on_Planet_Earth,2,"['SocietalEvent', 'Event', 'Convention']","{2476, 319}",{'HOPE'},0.3,0.3
333,<__main__.Entity object at 0x7f31882fce48>,Epinephrine_autoinjector,1,[],{321},{'EpiPens'},0.0,0.0
334,<__main__.Entity object at 0x7f31882feac8>,Flashback_(narrative),1,[],{322},{'Flashback'},0.0,0.0
335,<__main__.Entity object at 0x7f31882fe7b8>,Member_of_parliament,1,[],{322},{'Member'},0.0,0.0
336,<__main__.Entity object at 0x7f31882fe828>,Robert_Byrd,1,"['Person', 'Agent', 'Politician']",{322},{'Robert Byrd'},0.0,0.0
337,<__main__.Entity object at 0x7f31882feba8>,Mentorship,1,['Disease'],{322},{'Mentor'},0.0,0.0
338,<__main__.Entity object at 0x7f31882fcc88>,Epidermal_growth_factor_receptor,1,"['Gene', 'Biomolecule', 'HumanGene']",{323},{'HER'},0.175,0.175
339,<__main__.Entity object at 0x7f3187d786a0>,Outfielder,7,[],"{1344, 323, 1125, 717, 1970, 403, 2557}",{'OF'},0.19375,0.175
340,<__main__.Entity object at 0x7f31882fedd8>,No_Policy,1,"['Work', 'MusicalWork', 'Album']",{324},{'No policy'},0.0,0.0
341,<__main__.Entity object at 0x7f3187ba7400>,Human_Rights_Campaign,2,"['Agent', 'Organisation']","{3180, 325}",{'HRC'},-0.16666666666666666,-0.16666666666666666
342,<__main__.Entity object at 0x7f31882fefd0>,Procuring_(prostitution),1,[],{327},{'pandering'},-0.5,-0.5
343,<__main__.Entity object at 0x7f3187eeb668>,Utah,12,"['Region', 'PopulatedPlace', 'Place', 'Location', 'AdministrativeRegion']","{1954, 1988, 330, 1997, 1998, 1969, 2008, 2015, 1981, 1983}","{'UT', 'Utah'}",0.20406944444444444,0.19187500000000002
344,<__main__.Entity object at 0x7f3187c4ea90>,Wow!_signal,11,[],"{2976, 2274, 1762, 1540, 2340, 2628, 2982, 330, 3062, 2585, 859}",{'Wow!'},0.16546292675127902,0.125
345,<__main__.Entity object at 0x7f318816ed68>,Brexit,10,[],"{386, 966, 970, 331, 971, 941, 972, 949, 955, 956}","{'BREXIT', 'Brexit', 'brexit'}",-0.01489583333333332,-0.03333333333333332
346,<__main__.Entity object at 0x7f3187bdee48>,Canada,19,"['PopulatedPlace', 'Place', 'Location', 'Country']","{2563, 2852, 3076, 3046, 2791, 2922, 331, 575, 2957, 2928, 2995, 2868, 2808, 3071, 2972, 2846, 2399}","{'Canadian', 'CAN', 'Canada'}",0.12037613122171946,0.1
