,tweet
80,"""It's about time this country had somebody running it who has an idea about money."" —DonaldTrump #debatenight https://t.co/dpDrKCHVCd"
81,"Paying zero in taxes doesn’t make you ""smart.""

It makes you a Taxevasion. https://t.co/g9nQkSRvTB"
82,No wonder DonaldTrump is hiding his Taxreturn. #debatenight https://t.co/gcvsadMwHJ
83,"No Glossaryofprofessionalwrestlingterms reason DonaldTrumponsocialmedia can't release returns while being Audited, but if scared, release earlier returns no longer under Audit."
84,"In the Spirit of friendship, here's DonaldTrump's IslamicStateofIraqandtheLevant plan for your consideration. #debate https://t.co/YCXFWZyiGA"
85,DonaldTrump may live in his own reality—but we've got his own words right here. Check them out: https://t.co/NLPH8sbAGn #debatenight
86,"We can step up and confront Globalwarming, save our Planet, and invest in Sustainableenergy. 

Or, we can do nothing.… https://t.co/U29h8UaYZP"
87,"""I never said that."" —DonaldTrump, who said that. #debatenight https://t.co/6T8qV2HCbL"
88,"""That's called business."" —DonaldTrump on the housing crash.

For millions of Americans it was called ""losing their home."" #DebateNight"
89,"Economists project that DonaldTrump’s plans would add more than $5,000,000,000,000 to the NationaldebtoftheUnitedStates. That's ""Trillion"" with a ""T."""
90,"DonaldTrump seems to think $15 million is a ""small Loan."" #debate https://t.co/Bo3HOhdR92 https://t.co/K5bCPX3ujx"
91,"EveryTimesong DonaldTrump makes a show of railing against Outsourcing, remember the countries he shipped jobs and profits to: https://t.co/5MZTsOgYR9"
92,"Having a Smallbusiness owner for a dad may not get you multi-million-dollar bailouts, but it does teach you the Virginia… https://t.co/3LV3pmjRBI"
93,How many DonaldTrump products were made overseas? Here’s the complete list. https://t.co/OdJOZeZau0
94,There's only one candidate on stage who will support working families. #DebateNight https://t.co/uOV7JC9uQC
95,"We have to build an Economy that works for everyone, not just those at the top. #DebateNight https://t.co/XPTvh4Dovf"
96,Watch live: Hillary takes the stage for the first 2016UnitedStatespresidentialdebates → https://t.co/FbmDLQp03w #DebateNight
97,Let's do this. #DebateNight https://t.co/NkPEGHzucT
98,"If you're with Hillary, now's the time to show it. Chip in before TheTonightShow's debate to have her back: https://t.co/OftmbqRvyQ #DebateNight"
99,"No matter what Donald says at TheTonightShow's debate, we already know the real DonaldTrump.

Follow @TheBriefing2016 for the fa… https://t.co/ueK4tWWMN0"
100,"Hillary’s set to take the debate stage at 9pm ET.

Here's where you can watch: https://t.co/DhwVYhlA6K #DebateNight https://t.co/gMJINu5xJi"
101,"“You didn’t blame LittleJohn or MeatLoaf. You fired GaryBusey.

These are the kinds of decisions that would keep… https://t.co/RT0cARwsu7"
102,Study: DonaldTrump would raise taxes on millions of Middleclass families https://t.co/NmTl8m1R1G https://t.co/INemC8Roms
103,Here are 35 questions DonaldTrump still needs to answer. https://t.co/rdMYbHGhwA #DebateNight
104,Watch this before you watch TheTonightShow's debate. #DebateNight https://t.co/vnC4bMrS0Q
105,"DonaldTrump told 31 outright lies just last week.

Keep him honest at TheTonightShow's debate: Follow @TheBriefing2016 to get th… https://t.co/m1WyJ3DJqF"
